Date,Home Team,Away Team,xG_home,xG_away,DEEP_home,DEEP_away,PPDA_home,PPDA_away,xPTS_home,xPTS_away
Apr 11 2015,Bayern Munich,Eintracht Frankfurt,2.15,0.24,19,1,8.78,21.55,2.84,0.09
Apr 11 2015,Schalke 04,Freiburg,1.07,1.27,9,6,5.04,8.75,1.11,1.58
Apr 11 2015,Borussia M.Gladbach,Borussia Dortmund,2.09,0.70,5,8,19.31,12.28,2.42,0.41
Apr 11 2015,Mainz 05,Bayer Leverkusen,2.21,0.97,3,5,3.81,7.28,2.40,0.42
Apr 11 2015,Paderborn,Augsburg,2.36,0.64,11,6,8.47,3.25,2.62,0.26
Apr 11 2015,Hamburger SV,Wolfsburg,0.14,2.16,0,2,7.41,6.74,0.12,2.80
Apr 12 2015,FC Cologne,Hoffenheim,2.56,2.32,5,6,13.96,6.61,1.58,1.18
Apr 12 2015,VfB Stuttgart,Werder Bremen,2.35,0.45,6,6,7.25,7.63,2.68,0.21
Apr 17 2015,Eintracht Frankfurt,Borussia M.Gladbach,1.46,1.07,6,6,8.44,12.50,1.66,1.05
Apr 18 2015,Freiburg,Mainz 05,1.28,2.30,11,5,5.14,10.76,0.64,2.17
Apr 18 2015,Hoffenheim,Bayern Munich,0.67,1.52,3,14,15.15,4.89,0.67,2.06
