date,home_team,away_team,fthg,ftag,ftr,hs,as,hst,ast,hf,af,hc,ac,hy,ay,hr,ar,xg_home,xg_away,deep_home,deep_away,ppda_home,ppda_away,xpts_home,xpts_away
2014-12-16,1.FC Köln,Mainz 05,0,0,D,11,13,1,1,13,14,9,3,2,4,0,0,0.54,0.48,2,3,9.3,14.79,1.38,1.16
2014-12-16,Hamburger SV,VfB Stuttgart,0,1,A,8,16,2,6,9,11,6,5,1,2,0,1,0.44,1.36,8,9,5.16,12.5,0.56,2.18
2014-12-17,Dortmund,Wolfsburg,2,2,D,17,10,6,4,12,10,4,5,1,0,0,0,1.3,1.39,7,8,11.91,6.81,1.3,1.42
2014-12-17,Eintracht Frankfurt,Hertha BSC,4,4,D,16,8,7,5,14,19,5,4,3,2,0,0,2.74,2.05,11,1,2.24,11.47,1.83,0.95
2014-12-17,Hoffenheim,Leverkusen,0,1,A,9,18,7,9,16,19,1,10,1,3,0,0,0.44,2.18,4,13,4.33,3.93,0.25,2.63
2014-12-17,M'gladbach,Werder Bremen,4,1,H,9,9,6,4,13,18,2,1,1,1,0,1,2.07,0.31,8,7,9.38,20.05,2.76,0.15
2014-12-17,Paderborn,Schalke 04,1,2,A,21,16,4,8,9,22,5,7,0,3,0,0,1.41,1.15,11,3,7.07,8.04,1.57,1.15
2014-12-19,Mainz 05,Bayern Munich,1,2,A,5,12,3,5,16,17,4,10,2,0,0,0,0.49,0.83,1,7,18.91,4.21,0.98,1.63
2014-12-20,Augsburg,M'gladbach,2,1,H,18,14,6,7,15,11,4,7,3,2,0,0,1.66,2.18,7,11,15.85,13.52,0.97,1.78
2014-12-20,Leverkusen,Eintracht Frankfurt,1,1,D,16,9,3,5,18,20,4,1,3,2,0,0,0.86,1.46,6,4,3.86,5.89,0.8,1.92
2014-12-20,Schalke 04,Hamburger SV,0,0,D,17,15,8,6,11,15,6,4,1,2,0,0,1.53,1.37,2,2,7.34,11.65,1.47,1.26
2014-12-20,VfB Stuttgart,Paderborn,0,0,D,11,17,3,5,16,20,5,5,1,3,0,0,0.77,0.93,2,4,9.81,4.03,1.2,1.45
2014-12-20,Werder Bremen,Dortmund,2,1,H,12,14,3,5,12,9,2,6,0,0,0,0,2.37,0.6,6,7,13.21,4.9,2.57,0.29
2014-12-20,Wolfsburg,1.FC Köln,2,1,H,14,10,3,4,5,9,4,4,0,0,0,0,0.53,0.4,5,3,7.68,17.54,1.4,1.11
2014-12-21,Freiburg,Hannover 96,2,2,D,11,17,6,8,12,14,6,5,3,3,0,0,1.29,1.52,4,10,9.55,5.56,1.22,1.51
2014-12-21,Hertha BSC,Hoffenheim,0,5,A,8,15,1,8,17,17,2,9,3,1,0,0,0.71,3.63,6,7,6.73,4.87,0.04,2.94
2015-01-30,Wolfsburg,Bayern Munich,4,1,H,13,16,6,7,13,15,1,5,2,2,0,0,2.18,1.92,3,12,13.8,4.88,1.58,1.17
2015-01-31,Hamburger SV,1.FC Köln,0,2,A,10,15,3,6,17,11,3,3,3,1,0,0,0.6,1.16,5,9,12.83,13.33,0.85,1.85
2015-01-31,Leverkusen,Dortmund,0,0,D,7,10,3,2,20,17,4,3,1,2,0,0,0.34,0.45,6,0,2.41,5.49,1.11,1.37
2015-01-31,Mainz 05,Paderborn,5,0,H,21,10,8,2,14,17,9,4,0,1,0,0,2.88,0.72,7,4,8.0,8.48,2.69,0.21
2015-01-31,Schalke 04,Hannover 96,1,0,H,15,13,5,1,15,15,5,7,2,3,1,0,2.0,0.92,10,11,16.26,7.55,2.19,0.59
2015-01-31,VfB Stuttgart,M'gladbach,0,1,A,12,10,1,2,13,13,4,8,3,2,0,0,1.61,1.27,6,7,16.75,15.5,1.67,1.04
2015-01-31,Freiburg,Eintracht Frankfurt,4,1,H,15,12,8,6,11,14,3,5,3,3,0,0,3.19,1.12,12,10,11.19,6.21,2.69,0.21
2015-02-01,Augsburg,Hoffenheim,3,1,H,15,13,7,5,20,28,4,7,2,3,0,0,2.39,0.61,2,10,4.96,8.42,2.59,0.29
2015-02-01,Werder Bremen,Hertha BSC,2,0,H,19,3,8,0,16,26,6,3,4,3,0,0,0.84,0.1,7,2,4.41,6.93,2.06,0.54
